PRODUCT,CATEGORY,SALES,PROFIT,CITY,MONTH
Laptop,Electronics,55000,12000,Mumbai,Jan
Mouse,Accessories,1200,500,Navi Mumbai,Jan
Keyboard,Accessories,2500,600,Thane,Feb
Monitor,Electronics,15000,4000,Pune,Mar
Speaker,Accessories,2000,600,Navi Mumbai,Apr
Webcam,Accessories,2500,450,Mumbai,Jan
Laptop,Electronics,60000,15000,Thane,Feb
Keyboard,Accessories,3000,500,Navi Mumbai,Mar
Laptop,Electronics,52000,12500,Pune,Jan
Speaker,Accessories,4500,1000,Mumbai,Mar
Keyboard,Accessories,3400,800,Navi Mumbai,Feb
Laptop,Electronics,58000,1400,Pune,Feb
Speaker,Accessories,2500,340,Thane,Apr
Monitor,Electronics,13000,3560,Navi Mumbai,Mar
Speaker,Accessories,5000,900,Thane,Jan
Laptop,Electronics,65000,14500,Pune,Mar
Monitor,Electronics,15000,3500,Mumbai,Feb
Laptop,Electronics,70000,21000,Mumbai,Apr
Webcam,Accessories,2300,700,Thane,Apr
Mouse,Accessories,1800,450,Mumbai,Apr
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
